Nominal,Tanggal,Dompet,Kategori,Catatan,Prioritas
22500.0,2024-02-29,Cash,Transportasi,Ojol,Harus
20000.0,2024-03-01,Cash,Makanan/Minuman,Nasi Goreng,Butuh
19000.0,2024-03-01,Livin,Makanan/Minuman,Warteg,Butuh
6000.0,2024-03-01,Cash,Makanan/Minuman,Nasi Bakar,Butuh
1200.0,2024-03-01,OVO,Lainnya,Biaya Admin,Harus
12000.0,2024-03-02,Cash,Makanan/Minuman,Warteg,Butuh
15000.0,2024-03-02,Cash,Makanan/Minuman,Nasi Goreng,Butuh
1000000.0,2024-03-02,Livin,Tempat tinggal,Sewa Kost,Butuh
2500.0,2024-03-02,Livin,Lainnya,Biaya Admin,Harus
31197.0,2024-03-02,Livin,Transportasi,e-money,Butuh
5500.0,2024-03-02,Livin,Lainnya,Biaya Admin,Harus
140000.0,2024-03-03,Livin,Transportasi,Kereta,Ingin
16000.0,2024-03-03,Cash,Makanan/Minuman,Ayam Geprek,Butuh
17000.0,2024-03-03,Cash,Makanan/Minuman,Nasi Padang,Butuh
8200.0,2024-03-04,Cash,Makanan/Minuman,Chocolate Hazelnut Drink,Ingin
5000.0,2024-03-04,Cash,Makanan/Minuman,Roti,Butuh
50000.0,2024-03-04,Cash,Lainnya,Akomodasi,Ingin
23000.0,2024-03-04,Livin,Makanan/Minuman,Steak Ayam,Butuh
13200.0,2024-03-04,Cash,Kebersihan,Pasta Gigi,Butuh
16000.0,2024-03-04,Cash,Makanan/Minuman,Nasi Goreng,Butuh
17000.0,2024-03-05,Livin,Makanan/Minuman,Warteg,Butuh
6000.0,2024-03-05,Cash,Makanan/Minuman,Nasi Bakar,Butuh
20000.0,2024-03-05,Cash,Makanan/Minuman,Nasi Ayam,Butuh
6000.0,2024-03-06,Cash,Makanan/Minuman,Roti,Butuh
17000.0,2024-03-06,Cash,Makanan/Minuman,Ayam Geprek,Butuh
14000.0,2024-03-06,Livin,Makanan/Minuman,Warteg,Butuh
140000.0,2024-03-06,Livin,Transportasi,Kereta,Harus
6000.0,2024-03-07,Cash,Makanan/Minuman,Roti,Butuh
14000.0,2024-03-07,Livin,Makanan/Minuman,Warteg,Butuh
25000.0,2024-03-07,Livin,Makanan/Minuman,Indomie,Butuh
25000.0,2024-03-08,Cash,Makanan/Minuman,Chiken Steak,Butuh
6000.0,2024-03-08,Cash,Makanan/Minuman,Nasi Bakar,Butuh
20000.0,2024-03-08,Cash,Makanan/Minuman,Nasi Goreng,Butuh
200616.0,2024-03-08,Livin,Hiburan,Tiket Dufan,Ingin
50000.0,2024-03-09,Cash,Hiburan,Sewa Loker Dufan,Butuh
15000.0,2024-03-09,Cash,Makanan/Minuman,Nasi Goreng,Butuh
20884.0,2024-03-09,Livin,Transportasi,e-money,Butuh
1200.0,2024-03-09,OVO,Lainnya,Biaya Admin,Harus
30000.0,2024-03-09,Cash,Hiburan,Biaya Masuk Ancol,Butuh
42000.0,2024-03-09,OVO,Transportasi,Ojol,Butuh
25000.0,2024-03-09,Cash,Makanan/Minuman,Chiken Lawson,Butuh
80000.0,2024-03-10,Livin,Hiburan,Akomodasi Dufan,Ingin
1000.0,2024-03-10,Livin,Lainnya,Biaya Admin,Harus
1200.0,2024-03-10,OVO,Lainnya,Biaya Admin,Harus
38850.0,2024-03-10,OVO,Hiburan,Vidio Premium,Ingin
7800.0,2024-03-11,Cash,Makanan/Minuman,Susu,Ingin
20000.0,2024-03-11,Cash,Kebersihan,Potong Rambut,Butuh
29000.0,2024-03-12,Livin,Komunikasi,Kuota,Butuh
41000.0,2024-03-13,Cash,Kebersihan,Laundry,Butuh
17000.0,2024-03-13,Cash,Makanan/Minuman,Nasi Padang,Butuh
17000.0,2024-03-13,Cash,Makanan/Minuman,Warteg,Butuh
19000.0,2024-03-14,Livin,Makanan/Minuman,Ayam Geprek,Butuh
9000.0,2024-03-14,Cash,Makanan/Minuman,Yogurt,Butuh
18000.0,2024-03-14,Livin,Makanan/Minuman,Warteg,Butuh
20000.0,2024-03-15,Cash,Makanan/Minuman,Air Minum,Butuh
16000.0,2024-03-15,Livin,Makanan/Minuman,Ayam Geprek,Butuh
21000.0,2024-03-16,Cash,Makanan/Minuman,Nasi Goreng,Butuh
16000.0,2024-03-16,Livin,Makanan/Minuman,Ayam Geprek,Butuh
16000.0,2024-03-17,Cash,Kesehatan,Obat,Butuh
18000.0,2024-03-17,Cash,Makanan/Minuman,Nasi Padang,Butuh
19000.0,2024-03-17,Cash,Makanan/Minuman,Warteg,Butuh
12000.0,2024-03-17,Livin,Makanan/Minuman,Kelapa,Butuh
13800.0,2024-03-18,Cash,Kebersihan,Sabun Mandi,Butuh
8000.0,2024-03-18,OVO,Transportasi,Ojol,Butuh
32000.0,2024-03-18,Livin,Makanan/Minuman,Ayam Geprek,Butuh
12000.0,2024-03-18,Cash,Makanan/Minuman,Kelapa,Butuh
14000.0,2024-03-18,Cash,Belanja,Tisu,Butuh
16000.0,2024-03-18,Cash,Makanan/Minuman,Nasi Soto,Butuh
16000.0,2024-03-19,Cash,Makanan/Minuman,Nasi Soto,Butuh
16000.0,2024-03-19,Cash,Makanan/Minuman,Ayam Geprek,Butuh
19000.0,2024-03-20,Cash,Makanan/Minuman,Nasi Padang,Butuh
3000.0,2024-03-20,Cash,Makanan/Minuman,Teh Manis,Ingin
13000.0,2024-03-20,Cash,Makanan/Minuman,Burger,Ingin
16000.0,2024-03-20,Cash,Makanan/Minuman,Ayam Geprek,Butuh
16000.0,2024-03-21,Cash,Makanan/Minuman,Nasi Soto,Butuh
4000.0,2024-03-21,Cash,Makanan/Minuman,Teh Manis,Butuh
18000.0,2024-03-21,Livin,Makanan/Minuman,Ayam Geprek,Butuh
8000.0,2024-03-21,OVO,Transportasi,Ojol,Butuh
8046.0,2024-03-21,OVO,Hiburan,Vision,Ingin
16000.0,2024-03-22,Livin,Makanan/Minuman,Ayam Geprek,Butuh
13000.0,2024-03-22,Cash,Makanan/Minuman,Burger,Ingin
16000.0,2024-03-22,Cash,Makanan/Minuman,Nasi Goreng,Butuh
13000.0,2024-03-23,Cash,Makanan/Minuman,Burger,Ingin
12000.0,2024-03-23,Cash,Makanan/Minuman,Nasi Padang,Butuh
15000.0,2024-03-24,Cash,Makanan/Minuman,Warteg,Butuh
16000.0,2024-03-24,Cash,Makanan/Minuman,Nasi Soto,Butuh
15000.0,2024-03-24,Cash,Makanan/Minuman,Nasi Goreng,Ingin
4000.0,2024-03-25,Cash,Makanan/Minuman,Teh Manis,Butuh
35000.0,2024-03-25,Cash,Belanja,Parfum,Ingin
15000.0,2024-03-25,Cash,Makanan/Minuman,Warteg,Butuh
17000.0,2024-03-25,Cash,Makanan/Minuman,Nasi Padang,Butuh
18000.0,2024-03-26,Cash,Makanan/Minuman,Warteg,Butuh
20000.0,2024-03-26,Cash,Makanan/Minuman,Air Minum,Butuh
16000.0,2024-03-26,Cash,Makanan/Minuman,Nasi Soto,Butuh
4000.0,2024-03-26,Cash,Makanan/Minuman,Teh Manis,Butuh
16000.0,2024-03-27,Cash,Makanan/Minuman,Nasi Goreng,Butuh
12000.0,2024-03-27,Cash,Makanan/Minuman,Nasi Uduk,Butuh
1000.0,2024-03-27,Livin,Lainnya,Biaya Admin,Harus
13000.0,2024-03-27,Cash,Makanan/Minuman,Burger,Butuh
16000.0,2024-03-28,Cash,Makanan/Minuman,Ayam Geprek,Butuh
10000.0,2024-03-28,Livin,Transportasi,e-money,Butuh
82900.0,2024-03-28,Livin,Makanan/Minuman,Po Bha Bha,Ingin
7241.0,2024-03-29,Livin,Transportasi,e-money,Butuh
13000.0,2024-03-29,Cash,Makanan/Minuman,Burger,Ingin
15000.0,2024-03-30,Cash,Makanan/Minuman,Nasi Padang,Butuh
18000.0,2024-03-30,Cash,Makanan/Minuman,Warteg,Butuh
2500.0,2024-03-30,Livin,Lainnya,Biaya Admin,Harus
1000000.0,2024-03-30,Livin,Tempat tinggal,Sewa Kost,Butuh
15000.0,2024-03-31,Cash,Makanan/Minuman,Nasi Padang,Butuh
17000.0,2024-03-31,Cash,Makanan/Minuman,Warteg,Butuh
15000.0,2024-03-31,Cash,Makanan/Minuman,Cappuccino,Ingin
88605.0,2024-04-01,Livin,Makanan/Minuman,Curry House,Ingin
12000.0,2024-04-01,Cash,Makanan/Minuman,Nasi Uduk,Butuh
32000.0,2024-04-02,Cash,Makanan/Minuman,Nasi Uduk,Butuh
10000.0,2024-04-02,Cash,Transportasi,Ojol,Butuh
12000.0,2024-04-02,OVO,Transportasi,Ojol,Butuh
17500.0,2024-04-02,Cash,Kesehatan,Obat,Harus
16000.0,2024-04-03,Cash,Makanan/Minuman,Nasi Soto,Butuh
15000.0,2024-04-04,Cash,Makanan/Minuman,Warteg,Butuh
12000.0,2024-04-04,Livin,Makanan/Minuman,Kelapa,Butuh
15000.0,2024-04-05,Cash,Makanan/Minuman,Roti,Butuh
5555.0,2024-04-05,Cash,Makanan/Minuman,ccccc,Harus
17000.0,2024-04-05,Cash,Makanan/Minuman,Warteg,Butuh
17900.0,2024-04-05,Cash,Kebersihan,Sabun Mandi,Butuh
30000.0,2024-04-05,OVO,Transportasi,Ojol,Butuh
1200.0,2024-04-05,OVO,Lainnya,Biaya Admin,Harus
15000.0,2024-04-05,Cash,Makanan/Minuman,Warteg,Butuh
20000.0,2024-04-06,Cash,Belanja,Baju,Butuh
15000.0,2024-04-07,Cash,Makanan/Minuman,Sandal,Butuh
22500.0,2024-04-10,Cash,Transportasi,Bensin,Butuh
237820.0,2024-04-13,Livin,Komunikasi,Wifi,Butuh
2000.0,2024-04-13,Cash,Transportasi,Parkir,Harus
