Nominal,Tanggal,Dompet,Kategori,Catatan,Prioritas
4900.0,2023-11-15,Livin,Transportasi,Bus TMP,Butuh
10000.0,2023-11-16,Cash,Makanan/Minuman,Lauk,Butuh
12000.0,2023-11-16,Cash,Makanan/Minuman,Lauk,Butuh
14000.0,2023-11-17,Cash,Makanan/Minuman,Nasi Padang,Butuh
6000.0,2023-11-17,Cash,Makanan/Minuman,Air Minum,Butuh
13000.0,2023-11-17,Cash,Makanan/Minuman,Nasi Goreng,Butuh
12000.0,2023-11-18,Cash,Makanan/Minuman,Nasi,Butuh
13000.0,2023-11-18,Cash,Makanan/Minuman,Nasi Goreng,Butuh
14500.0,2023-11-19,Cash,Belanja,Beras,Butuh
14000.0,2023-11-19,Cash,Belanja,Telur,Butuh
4500.0,2023-11-19,Cash,Kebersihan,Sabun Mandi,Butuh
5000.0,2023-11-19,Cash,Makanan/Minuman,Roti Bakar,Ingin
11600.0,2023-11-19,OVO,Makanan/Minuman,Jajan,Ingin
13000.0,2023-11-20,Livin,Makanan/Minuman,Nasi Goreng,Butuh
5000.0,2023-11-21,Cash,Makanan/Minuman,Roti,Butuh
11000.0,2023-11-21,Cash,Makanan/Minuman,Lauk,Butuh
10000.0,2023-11-21,Livin,Makanan/Minuman,Dark Chocolate,Ingin
7000.0,2023-11-22,Cash,Makanan/Minuman,Lauk,Butuh
76500.0,2023-11-22,Cash,Transportasi,Ongkir,Harus
90000.0,2023-11-22,Cash,Transportasi,Shuttle,Butuh
15000.0,2023-11-22,Cash,Makanan/Minuman,Nasi Padang,Butuh
27750.0,2023-11-25,OVO,Hiburan,Vidio Premium,Ingin
40500.0,2023-11-25,Cash,Produktivitas,Lampu belajar,Butuh
15000.0,2023-12-04,Cash,Makanan/Minuman,Nasi,Butuh
16000.0,2023-12-04,OVO,Komunikasi,Pulsa,Butuh
7000.0,2023-12-12,Cash,Makanan/Minuman,Air Minum,Butuh
18000.0,2023-12-12,Cash,Hiburan,Tiket Camp,Ingin
237820.0,2023-12-12,Livin,Komunikasi,Wifi,Harus
28000.0,2023-12-14,Cash,Belanja,Filter Kopi,Ingin
22500.0,2023-12-15,Cash,Transportasi,Bensin,Butuh
7250.0,2023-12-15,Cash,Makanan/Minuman,Kopi,Ingin
21250.0,2023-12-15,Cash,Makanan/Minuman,Susu,Ingin
40000.0,2023-12-18,Cash,Kesehatan,Obat,Harus
175000.0,2023-12-18,Livin,Transportasi,Kereta,Harus
156944.0,2023-12-20,Livin,Tempat tinggal,OYO,Butuh
10000.0,2023-12-20,OVO,Komunikasi,Kuota,Butuh
1500.0,2023-12-20,OVO,Lainnya,Biaya Admin,Harus
18000.0,2023-12-20,OVO,Transportasi,Ojol,Butuh
8000.0,2023-12-20,Cash,Lainnya,Parkir,Harus
3000.0,2023-12-20,Cash,Makanan/Minuman,Air Minum,Butuh
175000.0,2023-12-20,Livin,Transportasi,Kereta,Harus
24000.0,2023-12-20,Cash,Makanan/Minuman,Makanan,Butuh
11500.0,2023-12-21,OVO,Transportasi,Ojol,Butuh
23000.0,2023-12-21,OVO,Transportasi,Ojol,Butuh
300000.0,2023-12-22,Livin,Tempat tinggal,DP Kost,Harus
